awardeeCounty,Year_date,awardee,d_inv,d_59,estimatedTotalAmt,d_99,estimatedTotalAmt_d_99,total
Akron,2012,THE UNIVERSITY OF AKRON,0,2,100000,0,0,100000
Akron,2013,THE UNIVERSITY OF AKRON,1,0,0,1,300000,300000
Akron,2014,THE UNIVERSITY OF AKRON,0,4,200000,0,0,200000
Akron,2015,THE UNIVERSITY OF AKRON,0,1,50000,0,0,50000
Akron,2016,THE UNIVERSITY OF AKRON,0,2,100000,0,0,100000
Akron,2017,THE UNIVERSITY OF AKRON,0,1,50000,1,300000,350000
Akron,2018,THE UNIVERSITY OF AKRON,0,2,100000,0,0,100000
Akron,2019,THE UNIVERSITY OF AKRON,0,4,200000,0,0,200000
Akron,2020,THE UNIVERSITY OF AKRON,0,3,150000,0,0,150000
Akron,2021,THE UNIVERSITY OF AKRON,0,3,150000,0,0,150000
Akron,2022,THE UNIVERSITY OF AKRON,0,3,150000,0,0,150000
Albany,2014,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Albany,2015,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,1,299583,399583
Albany,2016,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,0,0,100000
Albany,2020,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,0,0,100000
Albuquerque,2017,UNIVERSITY OF NEW MEXICO,0,1,50000,0,0,50000
Albuquerque,2017,"UNIVERSITY OF NEW MEXICO, THE",0,1,50000,1,443631,493631
Albuquerque,2019,UNIVERSITY OF NEW MEXICO,0,1,50000,0,0,50000
Albuquerque,2020,"UNIVERSITY OF NEW MEXICO, THE",0,2,100000,0,0,100000
Albuquerque,2021,"UNIVERSITY OF NEW MEXICO, THE",0,1,50000,0,0,50000
Alexandria,2019,GEM CONSORTIUM,1,0,0,1,3498254,3498254
Allendale,2013,GRAND VALLEY STATE UNIVERSITY,0,1,50000,0,0,50000
Allendale,2016,GRAND VALLEY STATE UNIVERSITY,0,1,50000,0,0,50000
Ames,2012,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,1,50000,0,0,50000
Ames,2015,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,1,50000,0,0,50000
Ames,2016,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,1,50000,0,0,50000
Ames,2017,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,1,50000,1,498750,548750
Ames,2018,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,1,50000,0,0,50000
Ames,2019,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,2,100000,0,0,100000
Ames,2020,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,2,100000,0,0,100000
Ames,2021,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,2,100000,0,0,100000
Ann Arbor,2012,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,9,450000,1,1499997,1949997
Ann Arbor,2013,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,11,550000,0,0,550000
Ann Arbor,2014,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,13,650000,0,0,650000
Ann Arbor,2015,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,16,785149,0,0,785149
Ann Arbor,2016,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,10,500000,1,3449985,3949985
Ann Arbor,2017,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,1,50000,0,0,50000
Ann Arbor,2018,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,2,100000,0,0,100000
Ann Arbor,2019,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,4,200000,0,0,200000
Ann Arbor,2020,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,7,350000,1,299775,649775
Ann Arbor,2021,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,7,350000,1,15000000,15350000
Ann Arbor,2022,REGENTS OF THE UNIVERSITY OF MICHIGAN,0,4,200000,0,0,200000
Arlington,2012,UNIVERSITY OF TEXAS AT ARLINGTON,0,1,50000,0,0,50000
Arlington,2015,UNIVERSITY OF TEXAS AT ARLINGTON,0,3,150000,0,0,150000
Arlington,2016,UNIVERSITY OF TEXAS AT ARLINGTON,0,1,50000,0,0,50000
Arlington,2018,UNIVERSITY OF TEXAS AT ARLINGTON,0,1,50000,0,0,50000
Arlington,2021,UNIVERSITY OF TEXAS AT ARLINGTON,0,1,50000,0,0,50000
Arlington,2022,UNIVERSITY OF TEXAS AT ARLINGTON,0,1,50000,0,0,50000
Athens,2014,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Athens,2015,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Athens,2017,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",1,0,0,1,500000,500000
Athens,2018,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Athens,2019,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",0,2,100000,0,0,100000
Athens,2020,UNIVERSITY OF GEORGIA,0,1,50000,0,0,50000
Athens,2020,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Atlanta,2013,"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Atlanta,2015,EMORY UNIVERSITY,0,1,50000,0,0,50000
Atlanta,2015,"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",0,2,100000,0,0,100000
Atlanta,2016,EMORY UNIVERSITY,0,1,50000,0,0,50000
Atlanta,2016,"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Atlanta,2019,"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",0,1,50000,0,0,50000
Auburn University,2013,AUBURN UNIVERSITY,0,1,50000,0,0,50000
Auburn University,2014,AUBURN UNIVERSITY,0,1,50000,0,0,50000
Auburn University,2017,AUBURN UNIVERSITY,0,1,50000,0,0,50000
Auburn University,2018,AUBURN UNIVERSITY,0,2,100000,0,0,100000
Auburn University,2021,AUBURN UNIVERSITY,0,1,50000,0,0,50000
Austin,2013,UNIVERSITY OF TEXAS AT AUSTIN,0,1,50000,0,0,50000
Austin,2014,UNIVERSITY OF TEXAS AT AUSTIN,0,2,100000,1,3750000,3850000
Austin,2015,UNIVERSITY OF TEXAS AT AUSTIN,0,4,200000,0,0,200000
Austin,2016,UNIVERSITY OF TEXAS AT AUSTIN,0,4,200000,0,0,200000
Austin,2017,UNIVERSITY OF TEXAS AT AUSTIN,0,5,250000,1,3450000,3700000
Austin,2018,UNIVERSITY OF TEXAS AT AUSTIN,0,3,150000,0,0,150000
Austin,2019,UNIVERSITY OF TEXAS AT AUSTIN,0,1,50000,0,0,50000
Austin,2020,UNIVERSITY OF TEXAS AT AUSTIN,0,1,50000,0,0,50000
Austin,2021,UNIVERSITY OF TEXAS AT AUSTIN,0,4,200000,0,0,200000
Austin,2022,UNIVERSITY OF TEXAS AT AUSTIN,0,3,150000,0,0,150000
Baltimore,2012,"JOHNS HOPKINS UNIVERSITY, THE",0,1,44337,0,0,44337
Baltimore,2012,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,0,1,50000,0,0,50000
Baltimore,2013,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,0,1,50000,0,0,50000
Baltimore,2015,"JOHNS HOPKINS UNIVERSITY, THE",0,1,50000,0,0,50000
Baltimore,2015,UNIVERSITY OF MARYLAND,0,1,50000,0,0,50000
Baltimore,2015,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,0,1,50000,0,0,50000
Baltimore,2016,"JOHNS HOPKINS UNIVERSITY, THE",0,3,150000,0,0,150000
Baltimore,2017,"JOHNS HOPKINS UNIVERSITY, THE",1,0,0,1,500000,500000
Baltimore,2019,"JOHNS HOPKINS UNIVERSITY, THE",0,1,50000,0,0,50000
Baltimore,2020,"JOHNS HOPKINS UNIVERSITY, THE",0,3,150000,0,0,150000
Baltimore,2021,"JOHNS HOPKINS UNIVERSITY, THE",0,1,50000,0,0,50000
Baton Rouge,2019,LOUISIANA STATE UNIVERSITY SYSTEM,0,1,50000,0,0,50000
Beaumont,2017,LAMAR UNIVERSITY,0,2,100000,0,0,100000
Berkeley,2013,INTERNATIONAL COMPUTER SCIENCE INSTITUTE,0,1,50000,0,0,50000
Berkeley,2013,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,1,50000,1,3750000,3800000
Berkeley,2014,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,4,200000,0,0,200000
Berkeley,2015,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,3,150000,0,0,150000
Berkeley,2016,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,8,400000,1,3450000,3850000
Berkeley,2017,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,13,650000,0,0,650000
Berkeley,2018,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,5,250000,0,0,250000
Berkeley,2019,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,8,400000,0,0,400000
Berkeley,2020,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,4,200000,0,0,200000
Berkeley,2021,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,3,150000,0,0,150000
Berkeley,2022,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",0,3,150000,0,0,150000
Bethlehem,2013,LEHIGH UNIVERSITY,0,1,50000,0,0,50000
Bethlehem,2014,LEHIGH UNIVERSITY,0,3,150000,0,0,150000
Bethlehem,2015,LEHIGH UNIVERSITY,0,3,150000,0,0,150000
Bethlehem,2016,LEHIGH UNIVERSITY,0,2,100000,0,0,100000
Bethlehem,2020,LEHIGH UNIVERSITY,0,1,50000,0,0,50000
Binghamton,2016,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,0,0,50000
Binghamton,2017,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,1,50000,1,500000,550000
Binghamton,2018,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,2,100000,0,0,100000
Binghamton,2019,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,6,300000,0,0,300000
Binghamton,2020,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,3,150000,0,0,150000
Binghamton,2021,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",0,4,200000,0,0,200000
Birmingham,2017,UNIVERSITY OF ALABAMA AT BIRMINGHAM,1,0,0,1,498795,498795
Birmingham,2020,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,16607,0,0,16607
Blacksburg,2012,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,100000,0,0,100000
Blacksburg,2013,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2015,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2016,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,5,250000,0,0,250000
Blacksburg,2017,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,1,50000,0,0,50000
Blacksburg,2018,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,1,50000,0,0,50000
Blacksburg,2019,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,3,150000,0,0,150000
Blacksburg,2021,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,100000,0,0,100000
Blacksburg,2022,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0,2,99309,0,0,99309
Bloomington,2012,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2013,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2014,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2015,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2018,TRUSTEES OF INDIANA UNIVERSITY,0,2,100000,0,0,100000
Bloomington,2020,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Bloomington,2021,TRUSTEES OF INDIANA UNIVERSITY,0,1,50000,0,0,50000
Boca Raton,2018,FLORIDA ATLANTIC UNIVERSITY,0,1,50000,1,254997,304997
