awardeeCounty,Year_date,d_SBIR_1,SBIR_1,d_SBIR_2,SBIR_2,d_STTR_1,STTR_1,d_STTR_2,STTR_2,d_PFI,PFI,d_others,others,d_inv,d_59,total_50k,d_99,estimatedTotalAmt_d_99,total_corps,total_fund,d_d_59,ID,gname_x,gname_y,gname_x,gname_y,gname_x,gname_y,gname
ABINGDON,2021,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,0,,,,,,,
ADA,2010,0,0,0,0,0,0,0,0,0,0,1,63062,0,0,0,0,0,0,63062,0,1,,,,,,,
ADA,2013,0,0,0,0,0,0,0,0,0,0,1,103856,0,0,0,0,0,0,103856,0,1,,,,,,,
ADA,2018,0,0,0,0,0,0,0,0,0,0,1,2399334,0,0,0,0,0,0,2399334,0,1,,,,,,,
ADA,2020,0,0,0,0,0,0,0,0,0,0,1,130333,0,0,0,0,0,0,130333,0,1,,,,,,,
ADA,2022,0,0,0,0,0,0,0,0,0,0,1,1497678,0,0,0,0,0,0,1497678,0,1,,,,,,,
ADDISON,2022,1,254214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254214,0,2,,,,,,,
ADRIAN,1995,0,0,0,0,0,0,0,0,0,0,1,49870,0,0,0,0,0,0,49870,0,3,,,,,,,
ADRIAN,2018,0,0,0,0,0,0,0,0,0,0,1,889553,0,0,0,0,0,0,889553,0,3,,,,,,,
ADRIAN,2022,0,0,0,0,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,1500000,0,3,,,,,,,
ALAMO,2021,1,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256000,0,4,,,,,,,
ALFRED STATION,2017,0,0,1,718842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718842,0,5,,,,,,,
ALPINE,1993,0,0,0,0,0,0,0,0,0,0,1,7793,0,0,0,0,0,0,7793,0,6,,,,,,,
ALPINE,1998,0,0,0,0,0,0,0,0,0,0,1,19248,0,0,0,0,0,0,19248,0,6,,,,,,,
ALPINE,2021,0,0,0,0,0,0,0,0,0,0,1,1333429,0,0,0,0,0,0,1333429,0,6,,,,,,,
ALTADENA,2016,0,0,0,0,1,449978,0,0,0,0,0,0,0,0,0,0,0,0,449978,0,7,,,,,,,
AMBLER,2020,1,419610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419610,0,8,,,,,,,
